,TimeStamp,Amount,N/P
0,1980-04-30 14:53:27.645930,189,Emma
1,1980-08-12 14:37:36.206096,-62,MAINTENANCE
2,1980-10-11 19:41:34.264213,97,Liam
3,1981-04-17 11:27:26.530981,362,Anthony
4,1981-10-19 17:32:48.040758,-486,SUPPLIES
5,1982-02-04 22:40:27.457724,-80,FUNDING
6,1982-05-29 17:00:22.177950,-20,MAINTENANCE
7,1982-06-20 18:56:54.365466,3,Liam
8,1982-09-10 02:35:21.788203,877,Morgan
9,1983-03-09 11:26:45.712836,-219,FUNDING
10,1983-04-22 21:53:17.447873,-290,SUPPLIES
11,1983-11-06 02:34:23.145823,-138,FUNDING
12,1984-02-24 04:20:28.469776,-219,MAINTENANCE
13,1984-03-02 03:39:34.013646,-10,FUNDING
14,1984-08-18 10:10:12.610771,241,Morgan
15,1984-09-14 18:30:11.052288,-217,SUPPLIES
16,1984-11-03 15:44:00.204935,450,Emma
17,1985-06-28 06:36:35.137757,-158,FUNDING
18,1986-12-11 08:08:56.070726,34,Emma
19,1988-01-28 06:01:49.713464,-76,MAINTENANCE
20,1988-05-28 06:48:15.231874,-13,FUNDING
21,1988-06-12 11:16:12.094182,241,Morgan
22,1988-06-16 20:31:55.844565,331,Anthony
23,1988-08-30 00:07:26.412967,-588,FUNDING
24,1988-09-13 04:25:58.874455,305,Liam
25,1989-02-10 16:31:17.938569,-448,FUNDING
26,1989-09-17 17:46:52.035415,810,Anthony
27,1990-04-30 16:39:25.729609,-327,MAINTENANCE
28,1990-05-13 15:08:39.296477,168,Liam
29,1990-06-24 18:55:32.244060,701,Morgan
30,1990-08-11 12:54:08.408232,-1440,SUPPLIES
31,1991-03-23 16:54:38.689937,125,Mehak
32,1991-04-25 10:01:58.877962,-63,MAINTENANCE
33,1992-09-15 11:50:02.841737,-2,SUPPLIES
34,1992-10-03 05:07:57.323868,934,Morgan
35,1994-04-01 06:23:49.038964,310,Mehak
36,1994-06-28 15:54:00.572153,33,Liam
37,1994-07-26 15:51:59.526533,45,Liam
38,1994-08-12 23:26:01.935486,-105,MAINTENANCE
39,1995-06-11 11:52:03.775107,743,Anthony
40,1996-02-23 16:35:59.639437,-590,FUNDING
41,1996-03-10 04:09:19.327100,633,Liam
42,1996-04-06 20:17:36.761539,828,Anthony
43,1997-04-01 06:53:40.412882,839,Anthony
44,1997-08-06 19:40:49.335313,576,Mehak
45,1998-01-14 05:54:56.847691,-2263,SUPPLIES
46,1998-03-18 03:53:27.821629,-1996,FUNDING
47,1998-06-29 14:35:06.407471,-34,SUPPLIES
48,1999-10-22 09:29:05.077800,653,Mehak
49,2000-01-02 09:09:21.047495,-95,SUPPLIES
50,2000-01-30 14:43:32.491893,-99,FUNDING
51,2000-02-02 16:41:38.906312,864,Nicoletta
52,2000-02-06 09:23:52.289326,423,Nicoletta
53,2000-05-28 21:53:47.879903,-1668,MAINTENANCE
54,2001-04-15 06:23:05.814607,-55,SUPPLIES
55,2001-07-13 02:03:25.458488,-15,FUNDING
56,2001-12-29 19:15:14.461109,-18,MAINTENANCE
57,2002-07-04 23:40:19.362837,19,Liam
58,2003-06-08 10:56:44.261703,-19,SUPPLIES
59,2003-06-08 13:23:34.525562,840,Nicoletta
60,2003-09-03 07:08:29.631109,-24,MAINTENANCE
61,2003-11-21 11:36:55.009009,-836,MAINTENANCE
62,2004-01-20 04:40:42.807206,401,Anthony
63,2004-09-17 14:23:29.128134,-354,MAINTENANCE
64,2005-01-23 04:26:23.982486,796,Nicoletta
65,2005-04-14 05:58:54.615684,-156,SUPPLIES
66,2005-10-07 08:43:00.515662,57,Morgan
67,2006-02-09 09:58:35.526681,259,Mehak
68,2006-11-28 03:57:32.329346,532,Morgan
69,2007-03-03 00:44:02.655738,556,Emma
70,2008-02-06 17:44:41.546721,-1410,MAINTENANCE
71,2008-12-18 10:45:01.441823,906,Jaden
72,2009-06-23 16:02:19.176996,381,Jaden
73,2009-12-05 01:40:00.534941,597,Nicoletta
74,2010-11-03 03:35:35.953584,854,Nicoletta
75,2011-07-16 17:03:44.621975,840,Jaden
76,2011-07-27 18:44:39.768618,-1790,FUNDING
77,2011-12-21 13:18:48.062304,508,Anthony
78,2011-12-24 07:25:54.215112,-1666,FUNDING
79,2012-02-24 19:53:44.141041,-1007,MAINTENANCE
80,2012-05-10 12:02:58.728431,514,Mehak
81,2013-03-30 14:47:19.013473,829,Morgan
82,2013-06-14 22:21:15.556515,343,Anthony
83,2014-04-05 12:16:11.940314,270,Morgan
84,2014-06-06 13:34:53.770140,589,Mehak
85,2014-06-23 03:18:15.613699,-1180,MAINTENANCE
86,2014-07-05 17:41:09.273224,650,Jaden
87,2015-02-02 01:29:05.707711,835,Morgan
88,2015-02-24 19:04:11.851362,508,Emma
89,2015-05-15 11:37:58.090944,12,Mehak
90,2015-09-20 22:01:46.793647,-1824,FUNDING
91,2015-12-10 11:41:51.999320,-1512,FUNDING
92,2016-01-19 08:47:22.716610,-198,SUPPLIES
93,2016-03-21 10:34:34.395972,668,Jaden
94,2016-03-29 01:17:49.378129,-112,FUNDING
95,2016-04-23 14:06:45.756587,504,Emma
96,2016-05-06 20:56:12.762072,-469,SUPPLIES
97,2016-12-16 23:14:08.336340,386,Jaden
98,2017-10-20 01:24:20.263038,-834,MAINTENANCE
99,2018-11-11 12:23:52.145389,-267,FUNDING
