,TimeStamp,Amount,N/P
0,1970-02-13 11:53:33.587205,309,Anthony
1,1972-03-17 07:18:29.157838,-63,FOOD
2,1975-02-01 13:01:27.668690,-99,EVENTS
3,1975-06-23 18:36:02.455771,852,Liam
4,1984-10-12 17:18:09.150438,480,Joey
5,1986-04-09 19:59:51.931179,-1332,CLOTHING
6,1988-11-24 08:15:54.378734,-30,FUNDRAISING
7,1990-01-10 08:33:18.119743,-23,FOOD
8,1990-04-07 21:48:49.328845,556,Anthony
9,1992-02-26 00:04:47.060213,-245,FUNDRAISING
10,1992-09-22 19:52:32.272215,-262,CLOTHING
11,1993-03-23 00:26:08.521004,-69,EVENTS
12,1995-11-02 22:51:42.541699,-29,MEDICAL SUPPLIES
13,2001-09-14 04:36:50.536151,967,Mehak
14,2002-12-04 11:01:18.292500,-130,CLOTHING
15,2004-10-21 01:39:41.893798,-204,MEDICAL SUPPLIES
16,2006-06-26 20:29:03.351531,964,Jaden
17,2007-02-13 13:38:02.222123,845,Morgan
18,2008-06-15 16:07:42.705300,39,Jaden
19,2010-02-18 20:56:59.643385,95,Nicoletta
20,2015-10-26 13:42:26.683155,-1845,MEDICAL SUPPLIES
21,2016-05-06 16:12:51.442620,-367,EVENTS
22,2016-08-21 12:16:20.547642,-295,EVENTS
23,2016-10-16 16:09:46.965134,-92,FUNDRAISING
24,2018-06-15 06:43:07.727103,82,Liam
