,TimeStamp,Amount,N/P
0,1970-03-03 16:32:21.881843,623,Jaden
1,1971-03-30 00:21:32.934215,-474,FUNDRAISING
2,1971-11-13 03:13:12.392156,-73,EVENTS
3,1972-07-26 23:59:28.667316,413,Morgan
4,1975-05-30 16:34:54.028773,309,Liam
5,1975-08-08 01:26:38.457721,-98,CLOTHING
6,1975-09-05 00:45:02.860197,814,Anthony
7,1976-03-03 11:53:25.613993,757,Emma
8,1976-04-22 01:46:28.264345,971,Jaden
9,1976-11-27 11:56:33.087923,935,Jaden
10,1977-12-21 04:05:29.968435,580,Mehak
11,1978-01-13 09:26:12.215372,-2360,CLOTHING
12,1980-01-31 15:04:11.644094,9,Morgan
13,1980-02-16 13:28:04.144767,404,Emma
14,1980-04-15 18:34:45.940560,-56,CLOTHING
15,1980-08-19 22:01:48.737579,-1522,EVENTS
16,1980-09-13 07:30:02.505345,-866,MEDICAL SUPPLIES
17,1981-03-30 04:25:52.518502,-348,FUNDRAISING
18,1982-04-09 16:04:27.403528,419,Emma
19,1982-08-23 00:30:06.123267,-7,FOOD
20,1982-09-12 09:08:24.191430,751,Morgan
21,1982-11-02 05:47:06.924666,-863,CLOTHING
22,1983-10-22 08:44:08.195122,-247,FOOD
23,1983-12-23 21:51:49.488340,-66,FUNDRAISING
24,1984-03-08 01:15:43.544706,717,Liam
25,1985-04-08 00:18:07.464267,-511,FUNDRAISING
26,1986-02-10 21:56:38.645041,587,Joey
27,1986-07-28 01:02:28.686239,128,Joey
28,1986-08-24 20:40:07.902250,-177,MEDICAL SUPPLIES
29,1988-01-17 16:04:35.417242,-611,FUNDRAISING
30,1988-08-22 08:25:53.160303,2,Liam
31,1988-11-08 11:11:34.377463,570,Nicoletta
32,1988-12-12 14:56:01.476101,734,Emma
33,1989-08-11 21:23:23.478331,-673,FUNDRAISING
34,1989-11-25 07:28:02.742798,-188,CLOTHING
35,1989-12-21 11:53:35.535067,-118,EVENTS
36,1989-12-31 13:47:09.087497,-148,MEDICAL SUPPLIES
37,1990-05-03 13:28:24.333750,-59,EVENTS
38,1990-09-07 23:34:15.749770,-122,EVENTS
39,1991-06-09 19:19:03.680114,747,Emma
40,1991-07-05 05:17:02.552878,-121,FOOD
41,1991-11-06 14:25:59.640833,999,Jaden
42,1992-03-04 07:45:18.232019,-539,FOOD
43,1992-07-06 02:09:21.737785,752,Liam
44,1992-08-09 17:39:33.189918,506,Mehak
45,1993-05-17 08:37:07.854610,282,Nicoletta
46,1993-07-16 00:09:02.387610,363,Anthony
47,1993-12-10 13:56:50.566238,-3065,EVENTS
48,1994-01-01 02:40:29.200099,400,Morgan
49,1994-12-23 17:10:08.803697,414,Joey
50,1995-02-04 18:30:18.690710,308,Liam
51,1995-06-01 06:59:24.519381,934,Mehak
52,1995-08-11 19:28:47.527345,621,Liam
53,1996-07-08 18:39:08.920950,336,Mehak
54,1996-11-01 18:20:19.736014,425,Joey
55,1996-11-02 17:26:35.216804,197,Morgan
56,1997-04-29 08:36:15.812899,-1571,FUNDRAISING
57,1998-01-20 02:50:57.744690,476,Jaden
58,1999-01-11 12:52:59.393301,819,Jaden
59,1999-11-18 17:20:36.610141,-101,FOOD
60,2000-06-30 05:29:02.224241,-2742,MEDICAL SUPPLIES
61,2001-07-22 03:58:22.601343,803,Morgan
62,2002-09-13 08:36:23.233538,-48,FUNDRAISING
63,2003-09-25 01:44:31.127872,-540,MEDICAL SUPPLIES
64,2003-10-23 19:31:00.781910,-506,EVENTS
65,2004-03-10 06:04:03.900761,741,Nicoletta
66,2004-08-27 10:55:33.344650,-169,MEDICAL SUPPLIES
67,2004-09-09 19:55:59.299390,608,Jaden
68,2005-01-04 11:15:08.749988,-1307,EVENTS
69,2006-03-24 09:27:37.943664,-42,FOOD
70,2006-09-28 10:15:31.118021,-43,FOOD
71,2007-02-03 02:31:42.351941,-53,MEDICAL SUPPLIES
72,2007-05-13 06:36:14.051178,136,Jaden
73,2008-03-10 20:59:31.073141,-28,FOOD
74,2008-04-04 11:55:07.781804,763,Liam
75,2008-08-23 03:08:42.749687,84,Mehak
76,2008-10-15 08:20:57.904416,323,Nicoletta
77,2009-01-15 18:36:01.432600,-910,FOOD
78,2009-04-24 18:37:17.214049,-145,EVENTS
79,2010-02-11 00:58:12.276674,489,Nicoletta
80,2010-12-09 09:34:55.413437,291,Morgan
81,2011-06-12 21:46:23.289851,-182,FOOD
82,2012-02-24 20:01:40.731699,-587,FUNDRAISING
83,2012-04-13 18:05:28.906232,-53,CLOTHING
84,2012-08-26 19:16:56.908154,-128,MEDICAL SUPPLIES
85,2013-08-07 17:54:53.141186,881,Anthony
86,2014-10-02 23:37:44.304985,948,Emma
87,2015-05-05 13:36:42.262648,-1311,EVENTS
88,2015-06-19 06:55:05.014952,918,Joey
89,2015-07-04 19:25:48.724129,-986,EVENTS
90,2016-11-05 20:40:06.552660,-500,FOOD
91,2017-06-12 13:32:45.008438,-16,CLOTHING
92,2017-07-18 20:50:56.187573,159,Joey
93,2017-11-01 19:29:24.670098,-70,FUNDRAISING
94,2017-11-04 05:55:58.158623,899,Emma
95,2018-01-22 09:37:53.242356,-704,EVENTS
96,2018-08-09 19:50:22.681273,-128,MEDICAL SUPPLIES
97,2018-08-21 14:29:50.940010,-39,FUNDRAISING
98,2018-10-30 19:22:46.136741,581,Jaden
99,2018-11-23 16:18:40.866366,-195,CLOTHING
