,TimeStamp,Amount,N/P
0,1980-04-02 00:37:07.473885,346,Liam
1,1980-04-10 23:46:44.235887,-247,FUNDING
2,1980-06-02 21:22:40.851698,183,Jaden
3,1980-06-10 18:29:57.134317,827,Joey
4,1980-06-22 04:01:35.792664,248,Emma
5,1980-06-23 04:27:01.079107,-1200,SUPPLIES
6,1980-07-22 10:39:35.398073,437,Anthony
7,1980-08-20 16:13:51.223638,-87,MAINTENANCE
8,1980-09-07 01:52:35.311269,-338,MAINTENANCE
9,1980-09-13 12:26:39.478984,777,Anthony
10,1980-10-01 12:57:13.354148,-128,MAINTENANCE
11,1980-10-16 05:19:38.845848,-734,SUPPLIES
12,1980-12-10 21:21:32.795460,751,Mehak
13,1980-12-11 16:29:01.622705,-93,MAINTENANCE
14,1981-03-19 03:33:09.645177,-76,FUNDING
15,1981-04-10 08:06:22.682607,-400,MAINTENANCE
16,1981-04-14 05:12:28.142470,676,Morgan
17,1981-04-23 23:13:40.560624,280,Emma
18,1981-10-07 12:27:14.568736,-425,MAINTENANCE
19,1981-12-23 14:44:17.253449,971,Liam
20,1981-12-31 14:39:24.458512,-159,SUPPLIES
21,1982-01-06 12:00:26.472176,-656,SUPPLIES
22,1982-01-12 02:39:19.075959,944,Liam
23,1982-02-13 07:16:32.400995,960,Emma
24,1982-02-13 07:52:50.783007,498,Morgan
25,1982-03-29 09:29:16.903256,149,Mehak
26,1982-04-18 16:30:14.264372,222,Emma
27,1982-05-20 11:37:35.080214,-3264,FUNDING
28,1982-09-04 08:51:39.701949,876,Emma
29,1982-10-07 13:18:11.835678,-294,SUPPLIES
30,1982-10-22 21:52:22.740681,824,Mehak
31,1982-11-17 23:23:50.633437,-824,MAINTENANCE
32,1982-11-19 10:23:11.990872,-746,FUNDING
33,1983-02-01 22:11:42.139987,-277,FUNDING
34,1983-02-07 12:42:54.473423,229,Nicoletta
35,1983-02-13 17:54:55.916972,158,Liam
36,1983-02-16 13:41:16.395551,734,Joey
37,1983-03-27 12:43:37.837674,-391,SUPPLIES
38,1983-04-07 01:37:19.242574,-646,FUNDING
39,1983-04-28 19:10:46.714303,708,Nicoletta
40,1983-04-30 05:01:21.464706,-32,SUPPLIES
41,1983-06-25 11:49:50.657756,681,Joey
42,1983-06-27 23:40:03.176384,723,Anthony
