,TimeStamp,Amount,N/P
0,1970-03-13 14:25:09.583474,823,Nicoletta
1,1970-04-07 09:38:57.427998,885,Jaden
2,1973-01-23 13:16:21.810697,644,Morgan
3,1973-03-17 18:54:29.231715,714,Jaden
4,1973-09-19 22:59:01.276764,277,Jaden
5,1975-07-07 06:25:07.092694,-3111,EVENTS
6,1975-07-25 03:33:05.684497,-62,FUNDRAISING
7,1976-11-25 02:43:26.017855,257,Anthony
8,1978-12-03 01:19:21.124269,-153,MEDICAL SUPPLIES
9,1981-11-02 16:41:21.035379,-19,FUNDRAISING
10,1982-12-23 11:01:02.140586,401,Liam
11,1983-01-15 10:27:52.108806,869,Emma
12,1983-04-11 22:57:57.940715,-1244,FUNDRAISING
13,1986-07-08 19:40:09.795506,912,Jaden
14,1986-09-28 04:29:59.173612,340,Anthony
15,1987-01-13 14:31:04.865592,-1221,MEDICAL SUPPLIES
16,1987-06-30 05:33:27.320702,23,Mehak
17,1987-07-03 00:06:58.703903,51,Joey
18,1990-01-25 22:51:10.794192,458,Emma
19,1990-02-13 00:19:58.559754,195,Anthony
20,1990-08-13 12:33:08.804771,-215,EVENTS
21,1991-03-20 17:00:38.278068,-750,EVENTS
22,1991-10-04 02:39:00.612647,-42,FOOD
23,1993-02-05 18:35:22.838999,-14,MEDICAL SUPPLIES
24,1993-04-17 19:46:16.760678,591,Joey
25,1993-05-14 19:27:31.721698,878,Emma
26,1994-02-05 15:34:23.875322,782,Jaden
27,1997-04-14 03:31:06.184216,751,Jaden
28,1997-08-03 00:13:09.881374,-135,FOOD
29,1997-11-14 10:35:18.393216,-1646,MEDICAL SUPPLIES
30,1999-06-09 08:05:52.279716,200,Liam
31,1999-08-22 04:18:17.767057,484,Liam
32,1999-10-13 06:48:38.510654,-1382,MEDICAL SUPPLIES
33,2000-07-09 09:35:50.637972,-244,CLOTHING
34,2002-03-16 02:08:13.259815,877,Jaden
35,2003-08-24 13:31:26.707325,-664,FOOD
36,2003-10-17 02:14:35.730149,-344,FUNDRAISING
37,2004-04-18 13:59:52.587237,421,Jaden
38,2004-07-14 10:18:04.273790,887,Liam
39,2004-08-25 08:43:45.918068,-1283,EVENTS
40,2007-02-13 03:13:57.590117,-184,FUNDRAISING
41,2008-03-15 19:20:51.472245,-5,EVENTS
42,2008-09-09 13:13:31.907481,-1,CLOTHING
43,2009-02-25 15:25:50.970300,646,Nicoletta
44,2009-06-16 19:49:50.364105,-611,EVENTS
45,2009-09-10 16:27:09.781961,989,Emma
46,2012-06-12 10:44:42.829820,225,Liam
47,2015-05-07 18:47:38.951914,-1245,CLOTHING
48,2016-07-11 15:25:46.201297,-5,EVENTS
49,2018-06-24 21:17:04.275794,976,Joey
