,TimeStamp,Amount,N/P
0,1970-01-13 08:47:57.390495,120,Emma
1,1970-02-11 12:24:59.609365,-108,MEDICAL SUPPLIES
2,1970-04-05 14:28:26.697995,200,Emma
3,1970-12-14 19:11:46.662689,106,Emma
4,1970-12-15 16:05:02.968531,110,Jaden
5,1970-12-18 19:49:34.627198,-198,FOOD
6,1971-02-09 19:47:19.342374,209,Liam
7,1971-03-05 07:42:50.307944,-251,EVENTS
8,1971-03-14 15:31:08.506953,-147,MEDICAL SUPPLIES
9,1971-04-17 02:17:15.062139,11,Nicoletta
10,1971-07-01 00:28:25.037661,-40,FOOD
11,1971-07-06 14:56:56.720536,417,Emma
12,1971-07-29 22:13:18.938336,-54,EVENTS
13,1971-08-09 05:51:34.063075,983,Liam
14,1971-11-11 22:38:36.047323,702,Liam
15,1972-02-18 23:27:44.147621,450,Jaden
16,1972-02-24 22:04:13.726779,-186,FUNDRAISING
17,1972-04-02 14:41:51.382153,583,Jaden
18,1972-05-26 09:27:02.309640,-1362,FOOD
19,1972-08-02 13:51:20.342546,-188,CLOTHING
20,1972-08-23 09:53:28.584402,288,Emma
21,1972-09-02 22:18:18.968753,983,Anthony
22,1972-09-19 17:55:37.668694,279,Morgan
23,1972-10-09 17:30:42.503023,-365,CLOTHING
24,1972-11-01 12:09:41.725717,-1227,FUNDRAISING
25,1973-01-07 11:58:38.418648,785,Mehak
26,1973-01-25 10:54:38.380852,293,Joey
27,1973-02-21 15:00:08.872970,336,Emma
28,1973-03-02 15:37:55.147016,570,Anthony
29,1973-03-19 02:30:36.502666,-877,MEDICAL SUPPLIES
30,1973-03-29 22:17:50.530217,287,Morgan
31,1973-04-22 11:51:28.135500,95,Jaden
32,1973-06-07 07:25:27.830079,724,Jaden
33,1973-07-03 06:35:58.750590,-2745,FUNDRAISING
34,1973-08-16 03:33:58.053595,976,Liam
35,1973-10-04 20:02:35.718258,-1594,FOOD
36,1973-10-25 15:24:00.554419,-72,FOOD
37,1973-11-28 14:30:49.479596,-81,MEDICAL SUPPLIES
38,1974-02-12 12:53:45.941286,-4,FOOD
39,1974-03-02 01:42:34.200877,42,Joey
40,1974-03-03 20:32:35.513195,-28,CLOTHING
41,1974-03-25 00:38:08.422388,-14,MEDICAL SUPPLIES
42,1974-04-30 21:45:07.052562,-7,MEDICAL SUPPLIES
43,1974-05-25 08:59:08.140367,-1,CLOTHING
44,1974-07-21 17:39:09.828520,305,Liam
45,1974-10-02 23:07:42.335347,-22,MEDICAL SUPPLIES
46,1974-11-26 20:19:09.653595,-67,MEDICAL SUPPLIES
47,1974-12-17 21:36:16.501485,453,Jaden
48,1975-01-07 07:56:53.280210,2,Morgan
49,1975-02-25 02:19:53.917574,-49,CLOTHING
50,1975-03-06 23:12:29.444366,-308,FOOD
51,1975-03-10 11:35:58.145910,209,Mehak
52,1975-03-15 19:34:02.836380,-515,FUNDRAISING
53,1975-03-18 08:29:13.304822,-4,MEDICAL SUPPLIES
54,1975-05-12 02:24:59.362380,-4,MEDICAL SUPPLIES
55,1975-07-20 00:47:10.497874,497,Nicoletta
56,1975-09-20 16:03:08.036768,-125,FUNDRAISING
57,1975-09-24 16:35:27.995276,-328,EVENTS
58,1975-10-14 03:39:10.378200,968,Joey
59,1975-12-16 22:01:01.139939,373,Mehak
60,1975-12-17 08:39:37.326824,-434,CLOTHING
61,1976-01-11 21:23:22.619359,629,Nicoletta
62,1976-03-11 08:47:44.276042,479,Morgan
63,1976-03-17 01:09:35.494141,-1421,FUNDRAISING
64,1976-11-15 06:09:37.162567,-501,FOOD
65,1976-12-03 09:15:12.753865,-90,MEDICAL SUPPLIES
66,1977-01-11 06:15:05.549236,917,Anthony
67,1977-03-31 14:04:58.765623,573,Jaden
68,1977-07-11 00:48:17.950459,76,Morgan
69,1977-07-22 17:59:47.683931,-1112,MEDICAL SUPPLIES
70,1977-09-30 18:16:53.250064,-130,FOOD
71,1978-04-03 23:52:05.989593,548,Morgan
72,1978-04-25 14:32:37.583016,702,Liam
73,1978-06-04 02:44:01.221584,-423,EVENTS
74,1978-06-20 23:59:38.299991,-405,EVENTS
